1	"abalo sísmico"	"C"	"tem"	"é"	"abalo"	"sísmico"	"sísmico"	"um"	"um"	"São incomuns em Goiana os grandes <strong>abalos sísmicos</strong> ou terremotos."	"Tsunamis são ondas de grande energia geradas por <strong>abalos sísmicos</strong>."	"As terras também sofrerão fortes <strong>abalos sísmicos</strong>, o que desencadeará fortíssimos terremotos por todo o globo terrestre."
2	"acampamento militar"	"C"	"tem"	"é"	"acampamento"	"militar"	"militar"	"um"	"um"	"Pelos quartéis e pelos <strong>acampamentos militares</strong> onde se decidiam as estratégias;"	"Um <strong>acampamento militar</strong> e várias barreiras policiais foram instaladas nos acessos e no povoado."	"Na Guiana havia um grande <strong>acampamento militar</strong> e um avião de tropas estava trazendo mais soldados para ali."
3	"agente secreto"	"C"	"tem"	"é"	"agente"	"secreto"	"secreto"	"um"	"um"	"Existe mesmo no serviço secreto inglês um <strong>agente secreto</strong> com licença para matar! "	"Um <strong>agente secreto</strong> dos Estados Unidos se apaixona por uma espiã."	"Fleming criou um <strong>agente secreto</strong> que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho."
4	"água doce"	"PC"	"tem"	"é"	"água"	"doce"	"doce"	"a"	"uma"	"O Brasil conta com grandes reservas de <strong>água doce</strong>."	"A maior reserva de <strong>água doce</strong>, que ganha cada vez mais importância."	"95 a 98% das pérolas de <strong>água doce</strong> não são nucleadas."
5	"água mineral"	"C"	"tem"	"é"	"água"	"mineral"	"mineral"	"a"	"uma"	"Só beba <strong>água mineral</strong> lacrada."	"Os bons bebem café ou <strong>água mineral</strong>."	"Foram avaliadas 47 marcas de <strong>água mineral</strong>;"
6	"alarme falso"	"NC"	"tem"	"é"	"alarme"	"falso"	"falso"	"um"	"um"	"Felizmente, tudo não passou de um <strong>alarme falso</strong>."	"Achei que tinha tido progresso, mas nada, <strong>alarme falso</strong>."	"Os <strong>alarmes falsos</strong> da chegada dos rebeldes eram constantes."
7	"algodão-doce"	"PC"	"tem"	"é"	"algodão"	"doce"	"doce"	"um"	"um"	"Tem pipoca, estalinho, <strong>algodão doce</strong>, sorvete"	"Para a garotada, pipoca, <strong>algodão doce</strong>, cachorro quente, cama elástica e piscina de bolinhas."	"Adicione a isso jujubas e <strong>algodão doce</strong> e você terá o meu conceito de como deveria ser o paraíso!"
8	"alta temporada"	"C"	"tem"	"é"	"temporada"	"alta"	"alto"	"uma"	"uma"	"Na <strong>alta temporada</strong> (dezembro-fevereiro) evite usar carro."	"É importante reservar antes, principalmente em período de <strong>alta temporada</strong>!"	"A oferta de hotéis por toda a Índia é grande mesmo em <strong>alta temporada</strong>."
9	"alta-costura"	"PC"	"tem"	"é"	"costura"	"alta"	"alto"	"uma"	"uma"	"Em vez de tênis de baixa qualidade, vamos fazer tênis de <strong>alta costura</strong>."	"A marca Christian Dior é um ícone da moda de <strong>alta costura</strong>."	"Adoro ver roupas tidas como simples, mas com uma precisão de <strong>alta costura</strong>."
10	"alto mar"	"PC"	"tem"	"é"	"mar"	"alto"	"alto"	"um"	"um"	"Eles pescavam e congelavam os peixes em <strong>alto mar</strong>."	"Estória de batalha desesperada e mortes em <strong>alto mar</strong>."	"Os grandes cardumes só estão em <strong>alto mar</strong>!"
11	"alto-falante"	"NC"	"tem"	"é"	"falante"	"alto"	"alto"	"um"	"um"	"Possui microfone e <strong>alto-falante</strong> mono."	"Inauguramos serviços de <strong>alto-falantes</strong> e a rádio-colmeia."	"Como sei a potência do <strong>alto falante</strong>?"
12	"amigo oculto"	"PC"	"tem"	"é"	"amigo"	"oculto"	"oculto"	"um"	"um"	"E aguardo ansiosamente o livro do meu <strong>amigo-oculto</strong>."	"Teve presente de <strong>amigo oculto</strong> chegando pelos correios..."	"Logo, todos adivinham que seu <strong>amigo oculto</strong> é..."
13	"amigo secreto"	"PC"	"tem"	"é"	"amigo"	"secreto"	"secreto"	"um"	"um"	"Dar caixa de chocolates para o <strong>amigo secreto</strong>."	"Meu <strong>amigo secreto</strong> é um sujeito muito irado."	"<strong>Amigo secreto</strong> é trocar o presente espontâneo por um brinde."
14	"amor-próprio"	"PC"	"tem"	"é"	"amor"	"próprio"	"próprio"	"um"	"um"	"Eu escolhi <strong>amor próprio</strong> e não autopiedade."	"Perdeu o autorespeito e o <strong>amor proprio</strong>."	"Desenvolva mais <strong>amor próprio</strong>, cure suas inseguranças."
15	"ano-novo"	"PC"	"tem"	"é"	"ano"	"novo"	"novo"	"um"	"um"	"Esse ano, estarei embarcada Natal e <strong>ano novo</strong>."	"Esta é a minha decisão de <strong>ano novo</strong>."	"Esta é minha principal resolução de <strong>ano novo</strong>."
16	"ar condicionado"	"PC"	"tem"	"é"	"ar"	"condicionado"	"condicionado"	"um"	"um"	"Aparelhos de <strong>ar-condicionado</strong> são desligados."	"Alguns ônibus tem <strong>ar-condicionado</strong>."	"Existe <strong>ar-condicionado</strong> em todos os quartos."
17	"ar livre"	"NC"	"tem"	"é"	"ar"	"livre"	"livre"	"o"	"um"	"E vamos também construir uma piscina de <strong>ar livre</strong> em Vila Verde."	"Artística, gosta de coisas bonitas e também da natureza e de <strong>ar livre</strong>."	"Este restaurante ao <strong>ar livre</strong> está especializado em pratos tradicionais brasileiros, como a galinhada caipira."
18	"arma branca"	"PC"	"tem"	"é"	"arma"	"branca"	"branco"	"uma"	"uma"	"Oito pessoas foram detidas com rojões e <strong>armas brancas</strong>."	"Gangues ligadas ao grupo costumam portar <strong>armas brancas</strong> e de fogo."	"Foices e facões são <strong>armas brancas</strong> de uso corriqueiro."
